	Diodesignal	MinusDiode	PlusDiode	ReferenzDiode	chopper	StagePosition	Loops	MagneticField
130	-0.7547687092073943	0.1448761369875845	0.018073806424077295	-0.10206943142974476	1	269.0555066079295	1	5.274963703031238
131	-0.40595635781644274	0.14518955150774582	0.01843878513385788	-0.10107359577147428	0	269.0555066079295	1	5.274963703031238
132	-0.8050608412450745	0.14473111227493762	0.017844989750174102	-0.10200175327853458	1	271.0581497797357	1	5.274963703031238
133	-0.43010133737055645	0.14502760724467634	0.018339684954455964	-0.10112193730842868	0	271.0581497797357	1	5.274963703031238
134	-0.832698514103565	0.14605164286442948	0.01859670086701177	-0.10213952665816059	1	273.0607929515418	1	5.274963703031238
135	-0.4482165177065602	0.146473825921822	0.019106704230158554	-0.10107923561751787	0	273.0607929515418	1	5.274963703031238
136	-0.8088258421120658	0.1452636752525705	0.01789897114881196	-0.10190265312819326	1	275.063436123348	1	5.274963703031238
137	-0.44233254853827403	0.14556339299437965	0.018373524040385537	-0.10122828868969841	0	275.063436123348	1	5.274963703031238
138	-0.9435328380411732	0.14635297199393751	0.01794086715937798	-0.10201061589375576	1	277.06607929515417	1	5.274963703031238
139	-0.5192124928643714	0.14661401647973143	0.01835418741958618	-0.10103975669615674	0	277.06607929515417	1	5.274963703031238
